,volume_sales,title_names,author_names,publisher
47,"<td class=""left"" id=""table-cell-10943-47-3"" style=""color: #000000""> 1,130,802 </td>","<td class=""left"" id=""table-cell-10943-47-1"" style=""color: #000000""> Man and Boy </td>","<td class=""left"" id=""table-cell-10943-47-2"" style=""color: #000000""> Parsons, Tony </td>","<td class=""left"" id=""table-cell-10943-47-4"" style=""color: #000000""> HarperCollins </td>"
48,"<td class=""left"" id=""table-cell-10943-48-3"" style=""color: #000000""> 1,126,337 </td>","<td class=""left"" id=""table-cell-10943-48-1"" style=""color: #000000""> Memoirs of a Geisha </td>","<td class=""left"" id=""table-cell-10943-48-2"" style=""color: #000000""> Golden, Arthur </td>","<td class=""left"" id=""table-cell-10943-48-4"" style=""color: #000000""> Random House </td>"
49,"<td class=""left"" id=""table-cell-10943-49-3"" style=""color: #000000""> 1,115,549 </td>","<td class=""left"" id=""table-cell-10943-49-1"" style=""color: #000000""> No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S. </td>","<td class=""left"" id=""table-cell-10943-49-2"" style=""color: #000000""> McCall Smith, Alexander </td>","<td class=""left"" id=""table-cell-10943-49-4"" style=""color: #000000""> Little, Brown Book </td>"
50,"<td class=""left"" id=""table-cell-10943-50-3"" style=""color: #000000""> 1,108,328 </td>","<td class=""left"" id=""table-cell-10943-50-1"" style=""color: #000000""> Island,The </td>","<td class=""left"" id=""table-cell-10943-50-2"" style=""color: #000000""> Hislop, Victoria </td>","<td class=""left"" id=""table-cell-10943-50-4"" style=""color: #000000""> Headline </td>"
51,"<td class=""left"" id=""table-cell-10943-51-3"" style=""color: #000000""> 1,107,379 </td>","<td class=""left"" id=""table-cell-10943-51-1"" style=""color: #000000""> PS, I Love You </td>","<td class=""left"" id=""table-cell-10943-51-2"" style=""color: #000000""> Ahern, Cecelia </td>","<td class=""left"" id=""table-cell-10943-51-4"" style=""color: #000000""> HarperCollins </td>"
52,"<td class=""left"" id=""table-cell-10943-52-3"" style=""color: #000000""> 1,104,403 </td>","<td class=""left"" id=""table-cell-10943-52-1"" style=""color: #000000""> You are What You Eat:The Plan That Will Change Your Life </td>","<td class=""left"" id=""table-cell-10943-52-2"" style=""color: #000000""> McKeith, Gillian </td>","<td class=""left"" id=""table-cell-10943-52-4"" style=""color: #000000""> Penguin </td>"
53,"<td class=""left"" id=""table-cell-10943-53-3"" style=""color: #000000""> 1,092,349 </td>","<td class=""left"" id=""table-cell-10943-53-1"" style=""color: #000000""> Shadow of the Wind,The </td>","<td class=""left"" id=""table-cell-10943-53-2"" style=""color: #000000""> Zafon, Carlos Ruiz </td>","<td class=""left"" id=""table-cell-10943-53-4"" style=""color: #000000""> Orion </td>"
54,"<td class=""left"" id=""table-cell-10943-54-3"" style=""color: #000000""> 1,090,847 </td>","<td class=""left"" id=""table-cell-10943-54-1"" style=""color: #000000""> Tales of Beedle the Bard,The </td>","<td class=""left"" id=""table-cell-10943-54-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-54-4"" style=""color: #000000""> Bloomsbury </td>"
55,"<td class=""left"" id=""table-cell-10943-55-3"" style=""color: #000000""> 1,087,262 </td>","<td class=""left"" id=""table-cell-10943-55-1"" style=""color: #000000""> Broker,The </td>","<td class=""left"" id=""table-cell-10943-55-2"" style=""color: #000000""> Grisham, John </td>","<td class=""left"" id=""table-cell-10943-55-4"" style=""color: #000000""> Random House </td>"
56,"<td class=""left"" id=""table-cell-10943-56-3"" style=""color: #000000""> 1,054,196 </td>","<td class=""left"" id=""table-cell-10943-56-1"" style=""color: #000000""> Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P </td>","<td class=""left"" id=""table-cell-10943-56-2"" style=""color: #000000""> Atkins, Robert C. </td>","<td class=""left"" id=""table-cell-10943-56-4"" style=""color: #000000""> Random House </td>"
57,"<td class=""left"" id=""table-cell-10943-57-3"" style=""color: #000000""> 1,037,160 </td>","<td class=""left"" id=""table-cell-10943-57-1"" style=""color: #000000""> Subtle Knife,The:His Dark Materials S. </td>","<td class=""left"" id=""table-cell-10943-57-2"" style=""color: #000000""> Pullman, Philip </td>","<td class=""left"" id=""table-cell-10943-57-4"" style=""color: #000000""> Scholastic Ltd. </td>"
58,"<td class=""left"" id=""table-cell-10943-58-3"" style=""color: #000000""> 1,023,688 </td>","<td class=""left"" id=""table-cell-10943-58-1"" style=""color: #000000""> Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation </td>","<td class=""left"" id=""table-cell-10943-58-2"" style=""color: #000000""> Truss, Lynne </td>","<td class=""left"" id=""table-cell-10943-58-4"" style=""color: #000000""> Profile Books Group </td>"
59,"<td class=""left"" id=""table-cell-10943-59-3"" style=""color: #000000""> 1,015,956 </td>","<td class=""left"" id=""table-cell-10943-59-1"" style=""color: #000000""> Delia's How to Cook:(Bk.1) </td>","<td class=""left"" id=""table-cell-10943-59-2"" style=""color: #000000""> Smith, Delia </td>","<td class=""left"" id=""table-cell-10943-59-4"" style=""color: #000000""> Random House </td>"
60,"<td class=""left"" id=""table-cell-10943-60-3"" style=""color: #000000""> 1,009,873 </td>","<td class=""left"" id=""table-cell-10943-60-1"" style=""color: #000000""> Chocolat </td>","<td class=""left"" id=""table-cell-10943-60-2"" style=""color: #000000""> Harris, Joanne </td>","<td class=""left"" id=""table-cell-10943-60-4"" style=""color: #000000""> Transworld </td>"
